database;phylum;family;species;author;decimalLatitude;decimalLongitude;recordedBy;recordNumber;identifiedBy;catalogNumber;collectionCode;institutionCode;n_grid;locality_id
GBIF;Marchantiophyta;Lejeuneaceae;Acrolejeunea emergens;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D. M.;1128;Vital, D. M.;117213;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Lejeuneaceae;Acrolejeunea emergens;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D. M.;1138;Vital, D. M.;137598;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Sematophyllaceae;Brittonodoxa subpinnata;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D.M.;1136;Vital, D.M.;84230;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Bryaceae;Anomobryum apiculatum;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D.M.;1122;Vital, D.M.;090009;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Bryaceae;Rosulabryum capillare;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D.M.;1110;Vital, D.M.;1834008;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Leucobryaceae;Campylopus savannarum;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D.M.;1149;Griffin III, D.G.;119435;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Lejeuneaceae;Cheilolejeunea rigidula;(Mitt.) Steph.;-13.343333;-44.636667;Vital, D. M.;1134;Peralta, D. F.;119309;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Hypnaceae;Chryso-hypnum diminutivum;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1115;Vital, D.M.;CINC-B-0015636;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Corsiniaceae;Cronisia weddellii;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D. M.;1123;Vital, D. M.;135527;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Corsiniaceae;Cronisia weddellii;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D. M.;1125;Vital, D. M.;131871;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Corsiniaceae;Cronisia weddellii;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D. M.;1124;Vital, D. M.;131868;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Corsiniaceae;Cronisia weddellii;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D. M.;1121;Vital, D. M.;131870;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Stereophyllaceae;Entodontopsis leucostega;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1118;Vital, D.M.;70517;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Erpodiaceae;Venturiella coronata;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1112;Vital, D.M.;51384;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Erpodiaceae;Venturiella coronata;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1116;Vital, D.M.;51476;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Erpodiaceae;Venturiella coronata;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1150;Vital, D.M.;51366;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Fabroniaceae;Fabronia ciliaris;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1111;Vital, D.M.;96239;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Fabroniaceae;Fabronia ciliaris;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1120;Vital, D.M.;71860;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Fissidentaceae;Fissidens zollingeri;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D.M.;1114;Bordin, J.;72370;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania caulisequa;(Lehm. & Lindenb.) Schiffn.;-13.343333;-44.636667;Vital, D. M.;1133;Vital, D. M.;77203;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania ericoides;(Hedw.) Broth.;-13.343333;-44.636667;Vital, D. M.;1126;Vital, D. M.;72563;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania ericoides;(Hedw.) Broth.;-13.343333;-44.636667;Vital, D. M.;1117;Vital, D. M.;72564;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania gibbosa;(Hampe) Mitt.;-13.343333;-44.636667;Vital, D. M.;1135;Vital, D. M.;70389;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania gibbosa;(Schwägr.) D. Bell & Holyoak;-13.343333;-44.636667;Vital, D. M.;1151;Vital, D. M.;71877;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Frullaniaceae;Frullania riojaneirensis;(Schwägr.) D. Bell & Holyoak;-13.343333;-44.636667;Vital, D. M.;1130;Vital, D. M.;71875;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Helicophyllaceae;Helicophyllum torquatum;(Schwägr.) D. Bell & Holyoak;-13.343333;-44.636667;Vital, D.M.;1119;Vital, D.M.;79186;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Pylaisiadelphaceae;Isopterygium tenerifolium;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D.M.;1137;Vital, D.M.;96469;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Pylaisiadelphaceae;Isopterygium tenerum;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D.M.;1152;Vital, D.M.;77814;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Lejeuneaceae;Lejeunea puiggariana;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1139;Bastos, C.;79148;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Octoblepharaceae;Octoblepharum cylindricum;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D.M.;1143;Vital, D.M.;191280;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Pallaviciniaceae;Pallavicinia lyellii;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1131;Vital, D. M.;71898;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Aneuraceae;Riccardia digitiloba;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1153;Vital, D. M.;84983D;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Aneuraceae;Riccardia digitiloba;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1131;Vital, D. M.;84984A;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Aneuraceae;Riccardia digitiloba;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1141;Vital, D. M.;84985A;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Ricciaceae;Riccia oerstediana;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1113;Vital, D. M.;84990B;SP-BRYOPHYTA;IBt;437;1
GBIF;Marchantiophyta;Ricciaceae;Riccia vitalii;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D. M.;1109;Vital, D. M.;84975A;SP-BRYOPHYTA;IBt;437;1
GBIF;Bryophyta;Sphagnaceae;Sphagnum subsecundum;(C.F.W. Meissn. ex Spreng.) A. Evans;-13.343333;-44.636667;Vital, D.M.;1142;Santos, D.P.;84896B;SP-BRYOPHYTA;IBt;437;1
