locality_id;decimalLatitude;decimalLongitude;bio1;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;elev;ai
1;-13.343333;-44.636667;23.875;25.29999924;22.25;955;207;1;94.71292114;531;4;264;11;12.89999962;69.7297287;121.1216278;32.5;14;18.5;24.43333435;22.31666756;590;5528
2;-8.096620439;-43.66425649;26.61250114;28.08333397;25.66666603;894;155;2;84.38447571;438;11;181;29;12.35833359;72.69607544;101.7824249;35.40000153;18.39999962;17.00000191;26.06666756;26.03333282;261;5192
3;-13.25770761;-43.41979448;25.65972201;26.88333321;24.43333435;838.6666667;182;1;93.14181264;463.6666667;4;218.3333333;13;12.78611056;72.23790741;97.43524933;34.40000153;16.70000076;17.70000076;25.89999962;24.48333359;436.3333333;4519.666667
4;-13.183333;-43.4;25.60833359;26.85000038;24.43333435;811;179;1;94.407341;454;3;215;10;12.98333359;72.94007111;95.36611938;34.40000153;16.60000038;17.80000114;25.79999924;24.51666641;433;4346
5;-13.066667;-43.366667;25.60833359;26.91666603;24.41666603;807;174;1;93.45000458;451;5;215;11;13.13333321;72.96295929;98.36927795;34.5;16.5;18;25.83333206;24.51666641;429;4362
6;-15.80185133;-43.30911287;23.66666603;24.85000038;21.48333359;900;196;1;96.49485016;532;6;381;6;12.51666641;71.52380371;150.473999;31.70000076;14.19999981;17.5;24.63333321;21.48333359;536;5562
7;-12.18436363;-43.21960283;25.56093741;26.94166708;24.22500015;860.75;165.625;0;91.42851734;461.125;3.125;229;14.375;13.61979103;73.12654782;106.5683718;34.59999847;15.97499991;18.62499857;25.93958378;24.34166527;421.875;4661.375
8;-12.55;-43.166667;25.71249962;27.13333321;24.43333244;950;175;0;87.76380157;492;5;243;23;13.69166565;73.6111145;104.9702225;34.79999924;16.20000076;18.59999847;26.03333282;24.64999962;426;5138
9;-12.233333;-43.166667;25.21666718;26.63333321;23.88333321;875;162;1;89.95523834;462;5;227;17;13.53333282;72.75985718;107.4356613;34.29999924;15.69999981;18.59999847;25.58333206;24.04999924;495;4731
10;-11.089444;-43.141667;25.63750076;26.41666603;25.08333397;736;133;6;79.67930603;352;24;351;24;13.52499962;87.25804901;56.6538353;32.90000153;17.39999962;15.50000191;26.08333206;25.08333397;407;4052
11;-15.743333;-43.028333;23.13750076;24.43333435;20.83333397;914;203;1;98.19134521;552;6;377;6;12.6916666;71.70433044;158.9042664;31.20000076;13.5;17.70000076;24.18333244;20.83333397;565;5637
12;-15.7;-43.016667;22.58333397;23.86666679;20.25;907;203;1;97.78357697;544;6;375;6;12.64999962;70.6703949;159.6349945;30.79999924;12.89999962;17.89999962;23.64999962;20.25;666;5572
13;-8.111363288;-42.94457974;26.77083397;28.10000038;25.56666756;867;159;2;87.10813141;438;9;157;25;13.32499981;76.14286041;98.63748169;35.29999924;17.79999924;17.5;26.68333435;25.68333435;272;5046
14;-15.39614582;-42.86099438;23.53333282;24.64999962;21.45000076;837;188;1;96.40386963;495;5;349;5;12.23333359;72.38658905;141.8118591;31.29999924;14.39999962;16.89999962;24.46666718;21.45000076;552;5036
15;-15.33175064;-42.8239517;23.41250038;24.51666641;21.35000038;828;187;1;96.51823425;490;5;344;5;12.04166698;72.10578918;140.4073029;31.10000038;14.39999962;16.70000076;24.36666679;21.35000038;568;4983
16;-10.716667;-42.75;25.4375;26.20000076;23.98333359;682;126;1;91.96339417;363;4;136;4;13.77499962;76.95530701;96.8627243;33.79999924;15.89999962;17.89999962;26.04999924;23.98333359;460;3711
17;-10.8;-42.716667;25.72916603;26.56666565;24.23333359;668;127;1;92.18435669;353;4;140;4;13.60833263;75.60186005;100.3053894;34.09999847;16.10000038;17.99999809;26.33333206;24.23333359;401;3639
18;-14.4925;-42.687222;23.35833359;24.44999886;21.39999962;696;157;1;99.16472626;425;4;346;4;11.86666679;71.05788422;132.3362122;31.29999924;14.60000038;16.69999886;24.21666718;21.39999962;604;4094
19;-14.45;-42.683333;23.25416756;24.33333397;21.29999924;699;160;0;100.8638611;433;2;352;2;11.72500038;70.63253021;132.0030518;31.20000076;14.60000038;16.60000038;24.10000038;21.29999924;609;4107
