Herbarium;Collection Code;Institution;Institution Code
 Herbário Alexandre Leal Costa;ALCB;Universidade Federal da Bahia;UFBA
Herbário da Universidade Federal de Sergipe;ASE;Universidade Federal de Sergipe;UFS
Beaty Biodiversity Museum;BBM;University of British Columbia;UBC
NHM-London-BOT - Botanical Collections;BOT;The Natural History Museum;NHMUK
Herbário do Centro de Pesquisas do Cacau;CEPEC;Comissão Executiva do Plano da Lavoura Cacaueira;CEPLAC
Herbário Leopoldo Krieger;CESJ;Universidade Federal de Juiz de Fora;UFJF
Margaret H. Fulford Herbarium;CINC;University of Cincinnati;CINC
L. E. Anderson Bryophyte Herbarium;DUKE;Duke University;DUKE
Herbário Prisco Bezerra;EAC;Universidade Federal do Ceará;UFC
Field Museum of Natural History;F;Field Museum of Natural History;F
University of Florida Herbarium;FLAS; University of Florida;UF
Geneva Herbaria Catalogue;G;Conservatoire et Jardin botaniques de la Ville de Genève;CJB
Herbário Caririense Dárdano de Andrade-Lima;HCDAL;Universidade Regional do Cariri;URCA
Herbário de Referência do Sertão Nordestino;HRSN;Universidade Federal do Vale do São Francisco;UNIVASF
Herbário da Pontifícia Universidade Católica do Paraná;HUCP;Pontifícia Universidade Católica do Paraná;PUCPR
Herbário da Universidade de Caxias do Sul;HUCS;Universidade de Caxias do Sul;UCS
Herbário da UFABC;HUFABC;Universidade Federal do ABC;UFABC
Herbário Unisanta;HUSC;Universidade Santa Cecília;UNISANTA
Herbário da Universidade Federal do Vale do São Francisco;HVASF;Universidade Federal do Vale do São Francisco;UNIVASF
Herbário do Instituto de Ciências Naturais;ICN;Universidade Federal do Rio Grande do Sul;UFRGS
Herbário do Parque da Ciência Newton Freire Maia;IRAI;Parque da Ciência Newton Freire Maia;PNFM
Herbário Lauro Pires Xavier;JPB;Universidade Federal da Paraíba;UFPB
University of Michigan Herbarium;MICH;University of Michigan;UM
Missouri Botanical Garden;MOBOT;Missouri Botanical Garden;MO
The William and Lynda Steere Herbarium;NY;The New York Botanical Garden;NYBG
Herbarium Anchieta - Aloysio Sehnem;PACA-BRYOPHYTES;Instituto Anchietano de Pesquisas;IAP
Cryptogamy Collection;PC;Muséum national d'Histoire naturelle;MNHN
Herbário RB;RB;Jardim Botânico do Rio de Janeiro;JBRJ
Herbário do Museu Nacional - Coleção de Briófitas;R-BRYOPHYTA;Museu Nacional - URFJ;MN
Herbário de Bryophyta de São José do Rio Preto;SJRP-BRYOPHYTA;Instituto de Biociências, Letras e Ciências Exatas - Câmpus de São José do Rio Preto;UNESP-IBILCE
SP-Bryophyta - Maria Eneyda P. Kauffman Fidalgo;SP-BRYOPHYTA;Instituto de Botânica;IBt
Herbário Dom Bento José Pickel;SPSF;Instituto Florestal;IF
Herbarium of the Estonian University of Life Sciences;TAA;Estonian University of Life Sciences;EMU
University of Tennessee Bryophyte Herbarium;TENN;University of Tennessee;UTK
Herbário da Universidade de Brasília;UB;Universidade de Brasília;UNB
Herbário UFP - Geraldo Mariz;UFP;Universidade Federal de Pernambuco;UFPE
Herbário UFRN;UFRN; Universidade Federal do Rio Grande do Norte;UFRN
